Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Wang, Q. et al. Functional engineered human cardiac patches prepared from natures platform improve heart function after acute myocardial infarction. Biomaterials 105, 5265 (2016).", Functional engineered human cardiac patches prepared from natureÃÂs platform improve heart function after acute myocardial infarction,,https://doi.org/10.1016/j.biomaterials.2016.07.035,2016," Biomaterials 105, 5265 (2016)",in-house,2,,,Matrigel,mTeSR-1,90,iCell Maintenance Medium (CDI),B27,CHIR99021,0-1,IWR1,1-May,,,Flow cytometry for cTnT+,90,,,,,,,,,,,,,Decellularized tissue,CM + EC + SC,hiPSC-SC,,"RPMI,1640,B27",,,Yes,TEM,,,,,,,,,,,,,,,MEA,,,,,,,PCR,"epinephrine, nifedipine, E4031, metoprolol",,,,,3D Only,,,1,Q3,4,Q1,7,,,,,Q3,iCell Maintenance Medium (CDI),75,Q3,0,Q2,25,Q1,,,,,,,,,,,,,,,,,,,
"Wanjare, M. et al. Anisotropic microfibrous scaffolds enhance the organization and function of cardiomyocytes derived from induced pluripotent stem cells. Biomater Sci 5, 15671578 (2017).", Anisotropic microfibrous scaffolds enhance the organization and function of cardiomyocytes derived from induced pluripotent stem cells,,https://doi.org/10.1039/c7bm00323d,2017," Biomater Sci 5, 15671578 (2017)",P356,1,,,Geltrex,E8,,iCell Maintenance Medium (CDI),B27,CHIR99021,0-2,IWR1,2-Apr,No glucose with lactate,Sep-15,IHC cTnT,80,,,,,,,Yes,,Yes,,,Electrospun fibers,,,,,"RPMI,1640",,,Yes,,Yes,1.6,,,Motion tracking analysis,,,5,Dye,,27,,,,,,,,,,,PCR,,,,,,2D Only,,,2,Q2,2,Q2,7,,,6,Q1,Q4,iCell Maintenance Medium (CDI),,,,,,,,,Q5,,,,Q4,,Q5,,,,,,,,,,
"Wei, L., Li, W., Entcheva, E. & Li, Z. Microfluidics-enabled 96-well perfusion system for high-throughput tissue engineering and long-term all-optical electrophysiology. Lab Chip 20, 40314042 (2020).", Microfluidics-enabled 96-well perfusion system for high-throughput tissue engineering and long-term all-optical electrophysiology,,https://doi.org/10.1039/d0lc00615g,2020," Lab Chip 20, 40314042 (2020)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Fibronectin,,,Optical stimulation,,,Flow,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Genetically encoded sensor,,,,,,Optical mapping,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Weinberger, F. et al. Cardiac repair in guinea pigs with human engineered heart tissue from induced pluripotent stem cells. Sci Trans Med 8, (2016).  ", Cardiac repair in guinea pigs with human engineered heart tissue from induced pluripotent stem cells,,https://doi.org/10.1126/scitranslmed.aaf8781,2016," Sci Trans Med 8, (2016)",C25,1,Female,Caucasian,Geltrex,MEF-conditioned medium,EB,RPMI-1640,"B27, HEPES, 1-thioglycerol","Activin A, BMP4, bFGF",0-3,DS-I-7,4-Nov,,,"Flow cytometry for cTnT+, Flow cytometry for a-actinin+",83,,,,,,Yes,Yes,,,,,,Fibrin,CM + EC,,hiPSC-EC,"DMEM,heat,inactivated,horse,serum,aprotinin,insulin",9.7,27,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,3,Q1,7,Q1,7,,,,,Q4,RPMI-1640,71,Q3,29,Q1,0,Q3,Q3,Q1,,,,,,,,,,,,,,,,,
"Wendel, J. S. et al. Functional Effects of a Tissue-Engineered Cardiac Patch From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes in a Rat Infarct Model. Stem Cells Transl Med 4, 13241332 (2015).", Functional Effects of a Tissue-Engineered Cardiac Patch From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes in a Rat Infarct Model,,https://doi.org/10.5966/sctm.2015-0044,2015," Stem Cells Transl Med 4, 13241332 (2015)",DF19-9-11T.H,1,Male,,,,,DMEM/F12,"NEAAs, ?-mercaptoethanol, FBS",CHIR99021,0-1,IWP2,3-May,No glucose with lactate,Oct-23,Flow cytometry for cTnT+,94,,Fibronectin,,,,,Yes,,,,,,Fibrin,CM + SC,hPC,,"DMEM,F12,FBS,aminocaproic,acid",2.03,22.6,Yes,,,,,,Motion tracking analysis,0.45,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,2,Q2,8,4,Q2,13,Q1,Q2,DMEM/F12,86,Q2,0,Q2,14,Q1,Q4,Q2,,,Q2,,,,,,,,,,,,,,
"Weng, K. C. et al. Human Induced Pluripotent Stem-Cardiac-Endothelial-Tumor-on-a-Chip to Assess Anticancer Efficacy and Cardiotoxicity. Tissue Eng Part C Methods 26, 4455 (2020).", Human Induced Pluripotent Stem-Cardiac-Endothelial-Tumor-on-a-Chip to Assess Anticancer Efficacy and Cardiotoxicity,,https://doi.org/10.1089/ten.TEC.2019.0248,2020," Tissue Eng Part C Methods 26, 4455 (2020)",in-house,1,,,,E8,,RPMI-1640,,CHIR99021,0-2,IWP2,3-May,No glucose with lactate,13-21,,,,,,,Yes,,Yes,,,,,,Fibrin,CM + EC (+ tumor),colon adenocarcinoma (SW620),hiPSC-EC,EGM2,130,2,Yes,,,,,,,,,,Genetically encoded sensor,,30,,,4.2,,,,,,,,,"doxorubicin, oxaliplatin",,,,,3D Only,,,2,Q2,2,Q2,7,8,Q1,8,Q1,,RPMI-1640,77,Q2,23,Q1,0,Q3,Q1,Q4,,,,,,,Q4,,,Q3,,,,,,,
"Werley, C. A. et al. Geometry-dependent functional changes in iPSC-derived cardiomyocytes probed by functional imaging and RNA sequencing. PLoS One 12, e0172671 (2017).", Geometry-dependent functional changes in iPSC-derived cardiomyocytes probed by functional imaging and RNA sequencing,,https://doi.org/10.1371/journal.pone.0172671,2017," PLoS One 12, e0172671 (2017)",iCell,1,,,,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Fibronectin,,,,,,,Yes,Yes,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Genetically encoded sensor ,,,,,,Genetically encoded sensor ,,,,,,,RNA-seq,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,,,,,,,,,,,,,,,,,,,,,,,,,
"Wheelwright, M. et al. Investigation of human iPSC-derived cardiac myocyte functional maturation by single cell traction force microscopy. PLoS One 13, (2018).", Investigation of human iPSC-derived cardiac myocyte functional maturation by single cell traction force microscopy,,https://doi.org/10.1371/journal.pone.0194909,2018," PLoS One 13, (2018)",DF19-9-11T.H,1,Male,,Matrigel,TeSR-E8,90,RPMI-1640,"B27, HEPES",CHIR99021,0-1,IWP4,3-May,,,,,"RPMI-1640, B27 with 1.8 mM Ca2+",,,,Calcium concentration,,,,Yes,Yes,,Micropatterned PAA gel ,,,,,,,,Yes,,,,1200,,TFM,0.00024,0.32,,,,,,,,,,,,,,,PCR,,,,,,2D Only,90,,1,Q3,2,Q2,7,,,,,,"RPMI-1640, B27 with 1.8 mM Ca2+",,,,,,,,,,Q3,Q5,Q4,,,,,,,,,,,,,
"Wickramasinghe, N. M. et al. PPARdelta activation induces metabolic and contractile maturation of human pluripotent stem cell-derived cardiomyocytes. Cell Stem Cell 29, 559-576.e7 (2022).", PPARdelta activation induces metabolic and contractile maturation of human pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.stem.2022.02.011,2022," Cell Stem Cell 29, 559-576.e7 (2022)","ISMMSi005-B, WTC11",2,"NaN, Male","NaN, Asian",Matrigel,E8,EB,RPMI-1640,"L-ascorbic acid, L-glutamine, 1-thioglycerol","Activin A, BMP4, bFGF",0-2,XAV939,2-Apr,No glucose with lactate,24-28,Flow cytometry for SIRPA,,"RPMI-1640, L-glutamine, thioglycerol-1, L-ascorbic acid, aprotinin, GSK0660, GW0742, Rosiglitazone, WY14643, LCFAs, palmitic acid, oleic acid, linoleic acid",Matrigel,Signal perturbation,"LCFAs, T3, GW6471, GSK0660, GW9662",,Yes,,,,,,,Fibrin,CM,,,"RPMI,1640,L,glutamine,thioglycerol,1,L,ascorbic,acid,aprotinin",6.45,,Yes,TEM,Yes,1.6,,,Post deflection,,,,Dye,,,,,,MEA; Optical mapping,10,,,,Seahorse; metabolic flux,Yes,"RNA-seq, PCR",,,,,,3D Only,,,2,Q2,2,Q2,,,,4,Q2,,"RPMI-1640, L-glutamine, thioglycerol-1, L-ascorbic acid, aprotinin, GSK0660, GW0742, Rosiglitazone, WY14643, LCFAs, palmitic acid, oleic acid, linoleic acid",100,Q1,0,Q2,0,Q3,Q3,,Q5,,,,,,,,,,Q4,,,,,,
"Williams, K. et al. A 3-D human model of complex cardiac arrhythmias. Acta Biomater 132, 149161 (2021).", A 3-D human model of complex cardiac arrhythmias,,https://doi.org/10.1016/j.actbio.2021.03.004,2021," Acta Biomater 132, 149161 (2021)","iCell, iPSC-CM Lonza",2,"NaN, NaN","NaN, NaN",,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Fibrin + matrigel,CM + SC,hCF,,"StemPro,34,Serum,Free,Media,L,glutamine,L,ascorbic,acid,transferrin,1,thioglycerol",0.025,1.8,Yes,,,,,,Rod deflection,,,,Dye,,45,,,18,,,,,,,,RNA-seq,"lidocaine, isoproterenol, flecainide, propranolol, amiodarone",ACM,,,,3D Only,,,1,Q3,1,Q3,,,,,,,,75,Q3,0,Q2,25,Q1,Q5,Q4,,,,,,,Q3,,,Q1,,,,,,,
"Wnorowski, A. et al. Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function. Stem Cell Reports 13, 960969 (2019).", Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function,GSE137081 (Ground),https://doi.org/10.1016/j.stemcr.2019.https://doi.org/10.006,2019," Stem Cell Reports 13, 960969 (2019)",in-house,3,,,Matrigel,E8,85,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,No glucose,9-Dec,,,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,"RPMI,1640,B27,GlutaMax,HEPES",,,Yes,,Yes,1.75,,,Motion tracking analysis,,,7,Dye,,,,,,,,,,,,,RNA-seq,,,69.5,33.8,16.3,2D Only,85,,2,Q2,2,Q2,7,,,3,Q2,,RPMI-1640,,,,,,,,,Q4,,,,Q4,,,,,,,,,,Q2,Q1,Q1
"Wong, A. O. T. et al. Correlation between frataxin expression and contractility revealed by in vitro Friedreichs ataxia cardiac tissue models engineered from human pluripotent stem cells. Stem Cell Res Ther 10, (2019).", Correlation between frataxin expression and contractility revealed by in vitro FriedreichÃÂs ataxia cardiac tissue models engineered from human pluripotent stem cells,,https://doi.org/10.1186/s13287-019-1305-y,2019," Stem Cell Res Ther 10, (2019)",PB02,1,,,"Matrigel, Geltrex","mTeSR-1, E8",EB,StemPro-34,L-ascorbic acid,"Activin A, BMP4",0-3,IWR1,4-Jul,,,Flow cytometry for cTnT+,77,,,,,,Yes,Yes,,,,,Microgrooves,Collagen + matrigel,CM + SC,hFF,,"DMEM,newborn,calf,serum",1.43,1.75,,,,,,,Post deflection,0.05,,,,,,,,,Optical mapping,,,,2.6,,,,,Friedreichs ataxia,,,,2D and 3D,,,3,Q1,3,Q1,,,,,,Q5,StemPro-34,91,Q2,0,Q2,9,Q2,Q4,Q4,,,Q4,,,,,,,,,,,Q2,,,
"Wu, H. et al. Epigenetic Regulation of Phosphodiesterases 2A and 3A Underlies Compromised ?-Adrenergic Signaling in an iPSC Model of Dilated Cardiomyopathy. Cell Stem Cell 17, 89100 (2015).", Epigenetic Regulation of Phosphodiesterases 2A and 3A Underlies Compromised ?-Adrenergic Signaling in an iPSC Model of Dilated Cardiomyopathy,,https://doi.org/10.1016/j.stem.2015.04.020,2015," Cell Stem Cell 17, 89100 (2015)",in-house,3,,,Matrigel,E8,,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,No glucose,9-Nov,Flow cytometry for cTnT+,90,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Dye,4.5,70,250,,,,,,,,,,RNA-seq,isoproterenol,DCM,,,,2D Only,,,2,Q2,2,Q2,7,,,2,Q2,Q3,RPMI-1640,,,,,,,,,,,,,,Q1,Q1,Q3,,,,,,,,,
"Wu, K. H. et al. Efficient generation of functional cardiomyocytes from human umbilical cord-derived virus-free induced pluripotent stem cells. Cell Tissue Res 374, 275283 (2018).", Efficient generation of functional cardiomyocytes from human umbilical cord-derived virus-free induced pluripotent stem cells,,https://doi.org/10.1007/s00441-018-2875-1,2018," Cell Tissue Res 374, 275283 (2018)",in-house,1,,,Matrigel,mTeSR-1,100,RPMI-1640,B27,Activin A,0-1,"BMP4, bFGF",1-May,,,"IHC a-actinin, IHC cTnT",80,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Dye,0.7,40,,,,Patch clamp,,,,,,,PCR,"isoproterenol, carbamylcholine",,,,,2D Only,100,,1,Q3,4,Q1,5,,,,,Q4,RPMI-1640,,,,,,,,,,,,,,Q4,Q3,,,,,,,,,,
"Xu, C. et al. Bioinspired onion epithelium-like structure promotes the maturation of cardiomyocytes derived from human pluripotent stem cells. Biomater Sci 5, 18101819 (2017).", Bioinspired onion epithelium-like structure promotes the maturation of cardiomyocytes derived from human pluripotent stem cells,,https://doi.org/10.1039/C7BM00132K,2017," Biomater Sci 5, 18101819 (2017)",in-house,1,,,Matrigel,mTeSR-1,85,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,,,,,,,,,,,Yes,,,Micropatterned PDMS,,,,,"RPMI,1640,B27",,,Yes,SEM,Yes,,,,Motion tracking analysis,,,30,Dye,,40,,,,,,,,,,,PCR,,,,,,2D Only,85,,1,Q3,2,Q2,7,,,,,,RPMI-1640,,,,,,,,,,,,,Q3,,Q3,,,,,,,,,,
"Xu, F. et al. MicroRNA-302d promotes the proliferation of human pluripotent stem cell-derived cardiomyocytes by inhibiting LATS2 in the Hippo pathway. Clin Sci 133, 13871399 (2019).", MicroRNA-302d promotes the proliferation of human pluripotent stem cell-derived cardiomyocytes by inhibiting LATS2 in the Hippo pathway,,https://doi.org/10.1042/CS20190099,2019," Clin Sci 133, 13871399 (2019)",Cellapy,1,,,Matrigel,mTeSR-1,85,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,No glucose,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"RNA-seq, PCR",,,,,,2D Only,85,,1,Q3,2,Q2,7,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, B. et al. A Net Mold-Based Method of Biomaterial-Free Three-Dimensional Cardiac Tissue Creation. Tissue Eng Part C Methods 25, 243252 (2019).", A Net Mold-Based Method of Biomaterial-Free Three-Dimensional Cardiac Tissue Creation,,https://doi.org/10.1089/ten.TEC.2019.0003,2019," Tissue Eng Part C Methods 25, 243252 (2019)",in-house,1,,,,,,RPMI-1640,B27,CHIR99021,,IWR1,,,,,,,,,,,,Yes,,Yes,,,,Collagen,CM + EC + SC,hCF,HUVEC,"RPMI,1640,B27",2.5,,Yes,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,RPMI-1640,70,Q3,15,Q1,15,Q1,Q4,,Q1,,,,,,,,,,,,,,,,
"Yang, X. et al. Fatty Acids Enhance the Maturation of Cardiomyocytes Derived from Human Pluripotent Stem Cells. Stem Cell Reports 13, 657668 (2019).", Fatty Acids Enhance the Maturation of Cardiomyocytes Derived from Human Pluripotent Stem Cells,GSE124057 (Control),https://doi.org/10.1016/j.stemcr.2019.08.013,2019," Stem Cell Reports 13, 657668 (2019)","IMR-90, WTC11",2,"Female, Male","NaN, Asian",,"MEF-conditioned medium, bFGF",,RPMI-1640,B27,"Activin A, BMP4, CHIR99021",0-3,XAV939,3-May,,,Flow cytometry for cTnT+,80,"RPMI-1640, B27, palmitate-BSA, oleate-BSA, linuleate- BSA, L-carnitine",,Yes,"Oleic acid-albumin and linoleicacid-albumin, Palmitate",,,,,,Yes,,ECM-coated plastic/glass; micropost array,,,,,,,,Yes,,Yes,1.8,2000,,Post deflection,0.013,,,Dye,0.25,,,,,Patch clamp,,91,-59,,Seahorse,Yes,"RNA-seq, PCR",,,89.1,14,6.5,2D Only,,,3,Q1,2,Q2,7,,,,,Q4,"RPMI-1640, B27, palmitate-BSA, oleate-BSA, linuleate- BSA, L-carnitine",,,,,,,,,Q3,Q2,Q5,,,Q5,,,,,,Q4,Q5,,Q1,Q2,Q2
"Yassa, M. E., Mansour, I. A., Sewelam, N. I., Hamza, H. & Gaafar, T. The impact of growth factors on human induced pluripotent stem cells differentiation into cardiomyocytes. Life Sci 196, 3847 (2018).", The impact of growth factors on human induced pluripotent stem cells differentiation into cardiomyocytes,,https://doi.org/10.1016/j.lfs.2018.01.009,2018," Life Sci 196, 3847 (2018)",UKKi011-A,1,Male,Caucasian,Vitronectin,iPS-Brew XF medium,85,RPMI-1640,B27,"Activin A, BMP4",0-3,IWP2,3-May,No glucose with lactate,13-16,Flow cytometry for cTnT+,92,,,,,,,,,,,,MEA,,,,,"RPMI,1640,B27",,,Yes,,,,,,,,,,,,,,,,MEA,,93,,,,,PCR,,,,,,2D Only,85,,3,Q1,2,Q2,,,,3,Q2,Q2,RPMI-1640,,,,,,,,,,,,,,,,,,,,Q4,,,,,
"Yokota, M., Hatakeyama, H., Ono, Y., Kanazawa, M. & Goto, Y. I. Mitochondrial respiratory dysfunction disturbs neuronal and cardiac lineage commitment of human iPSCs. Cell Death Dis 8, (2017).", Mitochondrial respiratory dysfunction disturbs neuronal and cardiac lineage commitment of human iPSCs,,https://doi.org/10.1038/cddis.2016.484,2017," Cell Death Dis 8, (2017)",in-house,1,,,Geltrex,mTeSR-1,,RPMI-1640,B27,"Activin A, BMP4, bFGF",0-5,DKK-1,6-Dec,,,,,,Geltrex,,,,,,,,,,ECM-coated plastic/glass,,,,,"RPMI,1640,B27",,,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,Seahorse,,,,Mitchondrial disease,,,,2D Only,,,5,Q1,6,Q1,,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Yoshida, S. et al. Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes by Soluble Factors from Human Mesenchymal Stem Cells. Molecular Therapy 26, 26812695 (2018).", Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes by Soluble Factors from Human Mesenchymal Stem Cells,,https://doi.org/10.1016/j.stemcr.2021.01.018,2018," Molecular Therapy 26, 26812695 (2018)",253G1,1,,,EBs,ReproCell embryonic stem cell media,EB,DMEM high glucose,,"Activin A, BMP4, bFGF",0-3,IWP3,3-Jul,,,Flow cytometry for cTnT+,78,,,,,,,Yes,,,,,ECM-coated plastic/glass,,,,,"High,glucose,DMEM",,,Yes,,Yes,,3000,,Motion tracking analysis,,,16,,1.04,40,,,,,,,,,Seahorse,,PCR,,,,,,2D Only,,,3,Q1,4,Q1,,,,,,Q5,DMEM high glucose,,,,,,,,,,Q1,,,Q3,Q3,Q3,,,,,,,,,,
"Yoshida, S., Sumomozawa, K., Nagamine, K. & Nishizawa, M. Hydrogel Microchambers Integrated with Organic Electrodes for Efficient Electrical Stimulation of Human iPSC?Derived Cardiomyocytes. Macromol Biosci 19, 1900060 (2019).", Hydrogel Microchambers Integrated with Organic Electrodes for Efficient Electrical Stimulation of Human iPSC?Derived Cardiomyocytes,,https://doi.org/10.1002/mabi.201900060,2019," Macromol Biosci 19, 1900060 (2019)",ReproCardio2,1,,,,,,ReproCardio 2 Culture Medium,,,,,,,,,,,,,,Yes,,,,,,,,Scaffold free,CM,,,"ReproCardio,2,Culture,Medium",0.015,0.0625,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,ReproCardio 2 Culture Medium,100,Q1,0,Q2,0,Q3,Q5,Q5,,,,,,,,,,,,,,,,,
"Yu, C. et al. Scanningless and continuous 3D bioprinting of human tissues with decellularized extracellular matrix. Biomaterials 194, 113 (2019).", Scanningless and continuous 3D bioprinting of human tissues with decellularized extracellular matrix,,https://doi.org/10.1016/j.biomaterials.2018.12.009,2019," Biomaterials 194, 113 (2019)","HDF-Cat-106-K-05a-CellApplications , BJ1",2,"NaN, Male","NaN, NaN",Matrigel,E8,85,RPMI-1640,B27,,0-2,,2-Apr,No glucose with lactate,Dec-18,,,,,,,,,,,Yes,,Yes,,Decellularized tissue,CM,,,"RPMI,1640",50,9,Yes,,,,,,,,,,,,,,,,,,,,,,,PCR,,,,,,3D Only,,,2,Q2,2,Q2,4,6,Q1,6,Q1,,RPMI-1640,100,Q1,0,Q2,0,Q3,Q1,Q3,,,,,,,,,,,,,,,,,
"Zaunbrecher, R. J. et al. Cronos titin is expressed in human cardiomyocytes and necessary for normal sarcomere function. Circulation 140, 16471660 (2019).", Cronos titin is expressed in human cardiomyocytes and necessary for normal sarcomere function,,https://doi.org/10.1161/CIRCULATIONAHA.119.039521,2019," Circulation 140, 16471660 (2019)",WTC11,1,Male ,Asian,Matrigel,mTeSR-1,,RPMI-1640,B27,"Activin A, BMP4, CHIR99021",0-3,XAV939,3-May,No glucose with lactate,18-22,Flow cytometry for cTnT+,96,,Matrigel,,,,yes,Yes,,,,,Micropatterned plastic/glass,Fibrin,CM + SC,hMSC,,"RPMI,1640,B27",4.4,16,Yes,,,1.7,9000,,Post deflection ,0.21,0.95,1300,Dye,0.2,,180,,,,,,,,,,PCR,,DCM,,,,2D and 3D,,,3,Q1,2,Q2,7,4,Q2,4,Q2,Q1,RPMI-1640,91,Q2,0,Q2,9,Q2,Q4,Q2,Q4,Q1,Q3,Q3,Q1,Q5,,Q4,,,,,,,,,
"Zhang, F. et al. Design and fabrication of an integrated heart-on-a-chip platform for construction of cardiac tissue from human iPSC-derived cardiomyocytes and in situ evaluation of physiological function. Biosens Bioelectron 179, (2021).", Design and fabrication of an integrated heart-on-a-chip platform for construction of cardiac tissue from human iPSC-derived cardiomyocytes and in situ evaluation of physiological function,,https://doi.org/10.1016/j.bios.2021.113080,2021," Biosens Bioelectron 179, (2021)",Cellapy,1,,,Geltrex,E8,70,Cardiomyocyte Maintenance Medium (Thermo Fisher),,,0-2,,2-Apr,,,Visual Inspection,80,,,,,Yes,,,Flow,,,,,Gelatin,CM,,,"Cardiomyocyte,Maintenance,Medium,Thermo,Fisher",,49,Yes,,,,,,Motion tracking analysis,,,40.5,Dye,,,,,,MEA,,,,,,,,"verapamil, isoproterenol",,,,,3D Only,,,2,Q2,2,Q2,4,,,,,Q4,Cardiomyocyte Maintenance Medium (Thermo Fisher),100,Q1,0,Q2,0,Q3,,Q1,,,,,Q2,,,,,,,,,,,,
"Zhang, J. Z. et al. A Human iPSC Double-Reporter System Enables Purification of Cardiac Lineage Subpopulations with Distinct Function and Drug Response Profiles. Cell Stem Cell 24, 802-811.e5 (2019).", A Human iPSC Double-Reporter System Enables Purification of Cardiac Lineage Subpopulations with Distinct Function and Drug Response Profiles,,https://doi.org/10.1016/j.stem.2019.02.015,2019," Cell Stem Cell 24, 802-811.e5 (2019)",SCVI,2,,,Matrigel,E8,85,RPMI-1640,B27,CHIR99021,0-1,IWR1,3-May,No glucose,Nov-14,Flow cytometry for cTnT+,,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,Motion tracking analysis,,,10,,,90,,,,,,,,,Seahorse,Yes,RNA-seq,"ivabradine, carbamylcholine, vernakalant",,,,,2D Only,85,,1,Q3,2,Q2,7,,,3,Q2,,RPMI-1640,,,,,,,,,,,,,Q4,,Q1,,,,,,,,,,
